time,cloud_cover (%),temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),dew_point_2m (°C),apparent_temperature (°C),pressure_msl (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),weather_code (wmo code),vapour_pressure_deficit (kPa),is_day (),wet_bulb_temperature_2m (°C)
2020-01-01T00:00,100,19.3,94,0,18.3,22,1024.3,2.2,9,4,3,0.14,1,18.5
2020-01-01T01:00,100,20,85,0,17.4,22.5,1024.8,1.3,56,5.4,3,0.35,1,18.2
2020-01-01T02:00,100,20.6,81,0,17.2,23,1025.7,1,135,6.8,3,0.46,1,18.2
2020-01-01T03:00,96,21.3,77,0,17.1,23.7,1026,0.5,135,8.6,3,0.58,1,18.4
2020-01-01T04:00,94,21.8,74,0,17.1,24.3,1025.2,0.5,135,9,3,0.67,1,18.6
2020-01-01T05:00,100,23.2,67,0,16.7,24.6,1024,6.7,144,18,3,0.94,1,18.8
2020-01-01T06:00,100,23,68,0,16.7,24.3,1022.8,6.9,129,18.4,3,0.91,1,18.7
2020-01-01T07:00,87,23.5,65,0,16.5,24.8,1021.8,6.6,131,16.2,3,1.02,1,18.9
2020-01-01T08:00,100,23.9,64,0,16.6,24.6,1021.4,10.8,150,20.9,3,1.07,1,19.1
2020-01-01T09:00,51,23.1,68,0,16.9,23.6,1021.5,13.5,134,24.8,2,0.91,1,18.9
2020-01-01T10:00,65,22,73,0,17,22.4,1021.9,14.3,129,25.2,2,0.71,1,18.6
2020-01-01T11:00,70,20.5,81,0,17.1,21.2,1022.4,12.8,130,25.2,2,0.47,0,18.1
2020-01-01T12:00,64,20.5,83,0,17.4,21.1,1022.9,13.8,133,22.3,2,0.42,0,18.3
2020-01-01T13:00,16,20.3,84,0,17.5,21,1023.5,13.7,135,25.2,0,0.38,0,18.3
2020-01-01T14:00,16,19.7,88,0,17.6,20.7,1023.7,11.5,134,24.1,0,0.28,0,18.2
2020-01-01T15:00,19,19.1,91,0,17.6,20.6,1023.8,9,127,20.2,0,0.2,0,18
2020-01-01T16:00,36,18.7,93,0,17.6,20.3,1023.7,8.2,119,15.8,1,0.14,0,17.9
2020-01-01T17:00,96,18.5,94,0,17.6,20.1,1023.5,8.1,111,14.8,3,0.12,0,17.8
2020-01-01T18:00,100,18.8,92,0,17.5,20.3,1023,8.3,108,15.5,3,0.17,0,17.9
2020-01-01T19:00,100,19.1,90,0,17.4,20.6,1022.6,8.1,103,15.5,3,0.22,0,17.9
2020-01-01T20:00,100,19.2,89,0,17.4,20.7,1022.1,8.4,100,15.1,3,0.24,0,17.9
2020-01-01T21:00,100,19.1,90,0,17.4,20.6,1022.1,8,100,15.1,3,0.22,0,17.9
2020-01-01T22:00,100,19.2,89,0,17.4,20.7,1022.1,8.5,102,15.1,3,0.24,0,17.9
2020-01-01T23:00,100,19.1,90,0,17.5,20.6,1022.6,8.3,108,15.1,3,0.21,0,17.9
2020-01-02T00:00,91,18.8,93,0,17.6,20.5,1023.6,7,111,16.6,3,0.15,1,17.9
2020-01-02T01:00,98,20,87,0,17.8,21.6,1024.4,8.5,118,16.2,3,0.29,1,18.4
2020-01-02T02:00,100,21.2,82,0,18.1,22.8,1024.9,9.6,124,20.5,3,0.44,1,19
2020-01-02T03:00,100,22.6,76,0.1,18.2,24.2,1024.6,9.8,126,21.6,51,0.65,1,19.5
2020-01-02T04:00,100,23,76,0.1,18.5,24.6,1023.9,10.7,130,22.7,51,0.67,1,19.9
2020-01-02T05:00,100,23.1,76,0.1,18.5,24.6,1022.5,11.2,123,23.8,51,0.69,1,19.9
2020-01-02T06:00,100,23.8,72,0,18.5,25.6,1021.2,8.7,142,24.1,3,0.82,1,20.1
2020-01-02T07:00,93,24.2,70,0,18.3,26.3,1020,6.8,148,19.8,3,0.92,1,20.2
2020-01-02T08:00,38,24.6,68,0,18.4,26.3,1018.9,9.5,99,19.1,1,0.99,1,20.3
2020-01-02T09:00,14,24.3,70,0,18.6,25.7,1018.8,12.5,108,24.8,0,0.9,1,20.4
2020-01-02T10:00,2,23.3,75,0,18.7,25,1018.8,10.1,107,24.1,0,0.7,1,20.1
2020-01-02T11:00,4,21.7,83,0,18.6,23.7,1019.3,8.1,103,17.3,0,0.45,0,19.5
2020-01-02T12:00,15,21,85,0,18.5,22.9,1020.1,8.6,112,17.3,0,0.36,0,19.2
2020-01-02T13:00,23,21.1,86,0,18.6,22.6,1020.7,11.1,119,17.6,1,0.36,0,19.3
2020-01-02T14:00,35,20.9,86,0,18.5,22,1021.3,13.9,127,24.8,1,0.34,0,19.2
2020-01-02T15:00,44,20.4,88,0,18.4,21.7,1021.7,12.1,120,24.5,1,0.28,0,18.9
2020-01-02T16:00,94,20.2,89,0,18.3,21.5,1021.5,12.6,114,22,3,0.26,0,18.9
2020-01-02T17:00,90,20.1,90,0,18.4,21.3,1021.3,12.8,112,23,3,0.23,0,18.9
2020-01-02T18:00,94,20,91,0,18.5,21.3,1021,12.7,115,22.7,3,0.21,0,18.9
2020-01-02T19:00,98,19.9,92,0,18.6,21.2,1020.2,13.4,117,23.8,3,0.19,0,18.9
2020-01-02T20:00,100,20,92,0,18.6,21.2,1019.9,13.2,116,23.8,3,0.19,0,19
2020-01-02T21:00,93,19.9,93,0,18.7,21.3,1019.6,12.7,115,23.4,3,0.17,0,19
2020-01-02T22:00,77,19.8,93,0,18.7,21.4,1019.9,11.8,113,22.3,2,0.15,0,19
2020-01-02T23:00,96,19.7,94,0,18.8,21.4,1020.3,11.4,108,20.9,3,0.13,0,19
2020-01-03T00:00,91,20.1,93,0,19,21.9,1020.8,11.4,108,20.5,3,0.16,1,19.3
2020-01-03T01:00,94,20.9,89,0.1,19,22.4,1021.5,13.1,106,23.8,51,0.27,1,19.5
2020-01-03T02:00,100,21.6,85,0.1,18.9,23,1022.1,13.4,117,25.9,51,0.39,1,19.7
2020-01-03T03:00,60,22.9,78,0,18.9,24.4,1022.2,12.5,131,25.9,2,0.6,1,20.1
2020-01-03T04:00,96,24.6,68,0,18.4,26,1021,11.7,137,26.3,3,0.98,1,20.3
2020-01-03T05:00,75,25,68,0.1,18.6,26.3,1020,12.7,133,27.7,51,1.02,1,20.6
2020-01-03T06:00,78,25.1,67,0.1,18.6,26.5,1018.8,11.8,130,27.7,51,1.04,1,20.6
2020-01-03T07:00,84,25.1,68,0.1,18.8,26.6,1018,12.7,115,26.3,51,1.02,1,20.8
2020-01-03T08:00,30,24.8,71,0,19.2,26.1,1017.3,15.2,97,29.9,1,0.91,1,20.9
2020-01-03T09:00,23,24.5,72,0,19.1,25.6,1017,16.2,103,32,1,0.87,1,20.8
2020-01-03T10:00,18,23.8,76,0,19.2,25.2,1017.3,14.4,103,31,0,0.72,1,20.6
2020-01-03T11:00,12,23.1,77,0,18.9,23.8,1017.7,17.7,119,31,0,0.64,0,20.2
2020-01-03T12:00,22,22.1,83,0,19.1,23.1,1019,16.1,129,31.3,1,0.45,0,19.9
2020-01-03T13:00,14,21.7,82,0,18.5,22.6,1019.4,15.7,127,28.8,0,0.46,0,19.4
2020-01-03T14:00,54,21.2,83,0,18.2,22,1019.7,15.1,123,28.1,2,0.43,0,19.1
2020-01-03T15:00,70,21.1,84,0,18.3,22,1019.9,14.5,117,27.4,2,0.4,0,19.1
